x,y
-0.11795,51.50245
-0.11845,51.502950000000006
-0.11845,51.50345
-0.11895,51.50395
-0.11895,51.504450000000006
-0.11945,51.50495
-0.11945,51.50545
-0.11945,51.505950000000006
-0.11945,51.50645
-0.11995,51.50695
-0.11995,51.507450000000006
-0.11995,51.50795
-0.11995,51.50845
-0.11995,51.508950000000006
-0.11995,51.50945
-0.11995,51.50995
-0.11995,51.510450000000006
-0.11995,51.51095
-0.11995,51.51145
-0.11995,51.511950000000006
-0.11995,51.51245
-0.11995,51.512950000000004
-0.11995,51.513450000000006
-0.11995,51.51395
-0.11945,51.514450000000004
-0.11945,51.514950000000006
-0.11895,51.51545
-0.11845,51.515950000000004
-0.11795,51.516450000000006
-0.11745,51.51695
-0.11695,51.517450000000004
-0.11645,51.517950000000006
-0.11595,51.51845
-0.11545,51.51845
-0.11495,51.51845
