x,y
-99.39761403704898,19.591620081517313
-99.3971138783187,19.5911200373286
-99.3971138783187,19.59061999313989
-99.3971138783187,19.59011994895118
-99.39661371958843,19.58961990476247
-99.39661371958843,19.589119860573756
-99.39611356085814,19.588619816385044
-99.39561340212786,19.588119772196336
-99.39511324339759,19.587619728007624
-99.3946130846673,19.587119683818912
-99.39411292593702,19.586619639630204
-99.39361276720675,19.58611959544149
-99.39311260847646,19.58561955125278
-99.39261244974618,19.585119507064068
-99.3921122910159,19.58461946287536
-99.39161213228562,19.584119418686647
-99.39111197355534,19.583619374497935
-99.39061181482506,19.583119330309227
-99.39011165609477,19.582619286120515
-99.3896114973645,19.582119241931803
-99.38911133863422,19.58161919774309
-99.38861117990395,19.581119153554383
-99.38811102117366,19.58061910936567
-99.38761086244338,19.58011906517696
-99.3871107037131,19.579619020988247
-99.38661054498282,19.57911897679954
-99.38611038625254,19.578618932610826
-99.38561022752226,19.578118888422114
-99.38511006879197,19.577618844233406
-99.3846099100617,19.577118800044694
-99.38410975133142,19.576618755855982
-99.38360959260113,19.57611871166727
-99.38310943387086,19.57561866747856
-99.38260927514058,19.57511862328985
-99.38210911641029,19.574618579101138
-99.38160895768002,19.574118534912426
-99.38110879894974,19.573618490723717
-99.38060864021945,19.573118446535005
-99.38010848148917,19.572618402346293
-99.3796083227589,19.572118358157585
-99.37910816402862,19.571618313968873
-99.37860800529833,19.57111826978016
-99.37860800529833,19.57061822559145
-99.37810784656806,19.57011818140274
-99.37810784656806,19.56961813721403
-99.37810784656806,19.569118093025317
-99.37810784656806,19.568618048836605
-99.37810784656806,19.568118004647896
-99.37810784656806,19.567617960459184
-99.37810784656806,19.567117916270472
-99.37760768783778,19.566617872081764
-99.37760768783778,19.566117827893052
-99.37760768783778,19.56561778370434
-99.37760768783778,19.565117739515628
-99.37760768783778,19.56461769532692
-99.37760768783778,19.564117651138208
-99.37760768783778,19.563617606949496
-99.37710752910749,19.563117562760787
-99.37710752910749,19.562617518572075
-99.37710752910749,19.562117474383363
-99.37660737037722,19.56161743019465
-99.37610721164694,19.561117386005943
-99.37560705291665,19.56061734181723
-99.37510689418637,19.56011729762852
-99.3746067354561,19.559617253439807
-99.37410657672581,19.5591172092511
-99.37360641799553,19.558617165062387
-99.37310625926526,19.558117120873675
-99.37260610053497,19.557617076684966
-99.37210594180469,19.557117032496254
-99.37160578307441,19.556616988307542
-99.37110562434412,19.55611694411883
-99.37060546561385,19.555616899930122
-99.37010530688357,19.55511685574141
-99.3696051481533,19.554616811552698
-99.36910498942301,19.554116767363986
-99.36860483069273,19.553616723175278
-99.36810467196246,19.553116678986566
-99.36760451323217,19.552616634797854
-99.36710435450189,19.552116590609145
-99.36660419577161,19.551616546420433
-99.36610403704132,19.55111650223172
-99.36560387831105,19.55061645804301
-99.36510371958077,19.5501164138543
-99.36460356085048,19.54961636966559
-99.36410340212021,19.549116325476877
-99.36360324338993,19.548616281288165
-99.36310308465964,19.548116237099457
-99.36260292592937,19.547616192910745
-99.36210276719909,19.547116148722033
-99.3616026084688,19.546616104533324
-99.36110244973852,19.546116060344612
-99.36060229100825,19.5456160161559
-99.36010213227797,19.54511597196719
-99.35960197354768,19.54461592777848
-99.35910181481741,19.544115883589768
-99.35860165608713,19.543615839401056
-99.35810149735684,19.543115795212348
-99.35760133862657,19.542615751023636
-99.35710117989629,19.542115706834924
-99.356601021166,19.541615662646212
-99.35610086243572,19.541115618457503
-99.35560070370545,19.54061557426879
-99.35510054497516,19.54011553008008
-99.35460038624488,19.539615485891368
-99.3541002275146,19.53911544170266
-99.35360006878432,19.538615397513947
-99.35309991005404,19.538115353325235
-99.35259975132377,19.537615309136527
-99.35209959259348,19.537115264947815
-99.3515994338632,19.536615220759103
-99.35109927513292,19.53611517657039
-99.35059911640265,19.535615132381682
-99.35009895767236,19.53511508819297
-99.34959879894208,19.53461504400426
-99.3490986402118,19.534114999815547
-99.34859848148152,19.533614955626838
-99.34809832275124,19.533114911438126
-99.34759816402097,19.532614867249414
-99.34709800529068,19.532114823060706
-99.3465978465604,19.531614778871994
-99.34609768783012,19.531114734683282
-99.34559752909983,19.53061469049457
-99.34509737036956,19.53011464630586
-99.34459721163928,19.52961460211715
-99.34409705290899,19.529114557928438
-99.34359689417872,19.528614513739726
-99.34309673544844,19.528114469551017
-99.34259657671815,19.527614425362305
-99.34209641798788,19.527114381173593
-99.3415962592576,19.526614336984885
-99.34109610052732,19.526114292796173
-99.34059594179703,19.52561424860746
-99.34009578306676,19.52511420441875
-99.33959562433648,19.52461416023004
-99.33909546560619,19.52411411604133
-99.33859530687592,19.523614071852617
-99.33809514814564,19.523114027663908
-99.33759498941535,19.522613983475196
-99.33709483068507,19.522113939286484
-99.3365946719548,19.521613895097772
-99.33609451322451,19.521113850909064
-99.33559435449423,19.520613806720352
-99.33509419576396,19.52011376253164
-99.33459403703367,19.519613718342928
-99.33409387830339,19.51911367415422
-99.33359371957312,19.518613629965508
-99.33309356084283,19.518113585776796
-99.33259340211255,19.517613541588087
-99.33209324338227,19.517113497399375
-99.33159308465198,19.516613453210663
-99.33109292592171,19.51611340902195
-99.33059276719143,19.515613364833243
-99.33009260846116,19.51511332064453
-99.32959244973087,19.51461327645582
-99.32909229100059,19.514113232267107
-99.32859213227032,19.5136131880784
